Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2018 Mazda CX-9 Grand Touring,Mazda,2018,"$26,800","38,254",Silver,Black,Automatic,FWD
2015 GMC Yukon Denali,GMC,2015,"$32,401","62,202",White,Brown,Automatic,4x4/4-wheel drive
2012 Chrysler Town & Country Touring,Chrysler,2012,"$7,500","128,844",Gray,Black,Automatic,FWD
2012 Audi Q5 2.0T Premium,Audi,2012,"$12,900","74,484",Blue,Black,Automatic,AWD
2016 Land Rover Range Rover 3.0L Supercharged HSE,Land,2016,"$45,599","25,809",Gray,Beige,Automatic,4x4/4-wheel drive
2016 GMC Terrain SLT,GMC,2016,"$15,994","74,039",White,Black,Automatic,FWD
2017 Nissan Titan SV,Nissan,2017,"$23,990","9,000",Red,Black,Automatic,4x4/4-wheel drive
2019 Hyundai Elantra SE,Hyundai,2019,"$15,900","4,908",Black,Other,Automatic,FWD
2011 Subaru Impreza WRX STi Base,Subaru,2011,"$19,990","101,178",White,Black,Manual,AWD
2017 Buick Regal Turbo GS,Buick,2017,"$22,990","8,873",Red,Black,Automatic,FWD
2017 Mercedes-Benz SL 450 Base,Mercedes-Benz,2017,"$49,699","15,420",Silver,Red,Automatic,RWD
2017 MINI Clubman Cooper S ALL4,MINI,2017,"$20,900","10,283",Red,Black,Automatic,AWD
2013 Nissan Sentra SR,Nissan,2013,"$5,650","118,000",Silver,Gray,Automatic,FWD
2013 FIAT 500 Sport Turbo,FIAT,2013,"$5,945","71,699",Red,Black,Manual,FWD
2016 Dodge Charger R/T,Dodge,2016,"$16,491","88,949",Black,Black,Automatic,RWD
2015 Nissan Juke SV,Nissan,2015,"$10,991","82,470",Black,Black,CVT,FWD
2018 Chevrolet Cruze LS,Chevrolet,2018,"$11,291","37,708",Silver,Black,Automatic,FWD
2016 Mercedes-Benz AMG C AMG C 63 S,Mercedes-Benz,2016,"$46,995","18,571",Black,Black,Automatic,RWD
2007 Honda CR-V EX-L,Honda,2007,"$3,999","226,034",Silver,Black,Automatic,4x4/4-wheel drive
2013 Chevrolet Malibu 2LT,Chevrolet,2013,"$7,991","71,710",Blue,Black,Automatic,FWD
2012 BMW X5 xDrive35i,BMW,2012,"$10,981","81,913",Brown,Beige,Automatic,AWD
2018 Nissan Altima 2.5 SL,Nissan,2018,"$12,885","45,260",Gray,Gray,CVT,FWD
2019 Dodge Grand Caravan GT,Dodge,2019,"$15,597","35,126",Gray,Black,Automatic,FWD
2017 Jaguar F-PACE S,Jaguar,2017,"$39,399","20,403",White,Other,Automatic,AWD
2016 Toyota Camry XSE,Toyota,2016,"$14,995","23,169",Gray,Black,Automatic,FWD
2019 Toyota Camry LE,Toyota,2019,"$16,597","22,025",White,Black,Automatic,FWD
2009 Pontiac Vibe GT,Pontiac,2009,"$4,995","165,289",Red,Black,CVT,FWD
2014 Honda Odyssey EX-L,Honda,2014,"$14,995","98,721",White,Other,Automatic,FWD
2017 Honda HR-V EX,Honda,2017,"$16,995","18,367",Gray,Other,CVT,FWD
2016 Jeep Patriot Sport,Jeep,2016,"$9,987","58,910",Other,Other,Automatic,FWD
2018 Chevrolet Cruze LS,Chevrolet,2018,"$13,995","20,792",Black,Gray,Automatic,FWD
2018 Acura MDX 3.5L w/Technology Package,Acura,2018,"$34,660","23,836",White,Brown,Automatic,AWD
2012 Hyundai Sonata Hybrid Base,Hyundai,2012,"$5,995","98,082",Black,Gray,Automatic,FWD
2019 Kia Sorento LX V6,Kia,2019,"$19,988","14,071",Silver,Black,Automatic,FWD
2015 Dodge Charger R/T,Dodge,2015,"$18,495","69,127",White,Black,Automatic,RWD
2015 Nissan Murano SL,Nissan,2015,"$14,995","85,824",White,Beige,CVT,FWD
2014 Cadillac ATS 2.5L Luxury,Cadillac,2014,"$11,995","87,763",Silver,Black,Automatic,RWD
2016 Chevrolet Suburban LS,Chevrolet,2016,"$22,991","85,041",Gray,Black,Automatic,RWD
2016 Hyundai Tucson SE,Hyundai,2016,"$13,370","59,937",Black,Gray,Automatic,FWD
2019 Volkswagen Tiguan 2.0T SE,Volkswagen,2019,"$19,895","26,265",Blue,Black,Automatic,FWD
2016 Toyota Sequoia Limited,Toyota,2016,"$33,035","41,886",Silver,Gray,Automatic,RWD
2017 Nissan Sentra SR,Nissan,2017,"$13,488","28,990",Black,Gray,CVT,FWD
2017 Hyundai Santa Fe Limited,Hyundai,2017,"$20,349","32,907",White,Black,Automatic,FWD
2017 Hyundai Sonata Limited,Hyundai,2017,"$15,889","29,078",Black,Beige,Automatic,FWD
2017 Hyundai Santa Fe SE Ultimate,Hyundai,2017,"$18,994","61,630",Gray,Gray,Automatic,FWD
2019 Chevrolet Silverado 1500 RST,Chevrolet,2019,"$35,983","15,952",Gray,Black,Automatic,RWD
2019 Audi Q7 45 Premium Plus,Audi,2019,"$46,492","5,764",Black,Brown,Automatic,AWD
2019 INFINITI QX60 Luxe,INFINITI,2019,"$31,408","10,824",Brown,Gray,CVT,FWD
2018 Chevrolet Malibu LT,Chevrolet,2018,"$16,489","13,986",Gray,Black,Automatic,FWD
2019 INFINITI QX60 Luxe,INFINITI,2019,"$32,374","13,295",Black,Gray,CVT,FWD
2017 Ford Fiesta SE,Ford,2017,"$9,729","29,764",Gray,Black,Automatic,FWD
2017 Hyundai Tucson SE,Hyundai,2017,"$14,729","28,377",Gray,Black,Automatic,FWD
2014 Chevrolet Captiva Sport 2LS,Chevrolet,2014,"$8,692","88,532",Silver,Black,Automatic,FWD
2012 Acura TL Technology,Acura,2012,"$13,481","61,086",Black,Beige,Automatic,FWD
2017 Ford Taurus SEL,Ford,2017,"$15,097","39,882",Blue,Other,Automatic,FWD
