Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2018 Buick Regal TourX Preferred,Buick,2018,"$23,993","7,498",Red,Gray,Automatic,AWD
2009 smart ForTwo Passion,smart,2009,"$4,950","45,338",White,Black,Automatic,RWD
2013 smart ForTwo PASSION-BRABUS,smart,2013,"$5,950","70,949",Black,Black,Automatic,RWD
2015 FIAT 500L Pop,FIAT,2015,"$6,950","37,317",Black,Black,Manual,FWD
2012 Kia Forte Koup SX,Kia,2012,"$5,980","103,051",Blue,Black,Manual,FWD
2013 Kia Optima Hybrid EX,Kia,2013,"$6,991","60,725",Gray,Black,Automatic,FWD
2018 Mercedes-Benz GLA 250 Base 4MATIC,Mercedes-Benz,2018,"$24,995","8,440",White,Black,Automatic,AWD
2013 Mercedes-Benz CL550 4MATIC,Mercedes-Benz,2013,"$24,995","68,972",Black,Black,Automatic,AWD
2007 Bentley Continental GT,Bentley,2007,"$33,991","38,096",Other,Other,Automatic,AWD
2019 Volkswagen Jetta GLI 2.0T 35th Anniversary Edition,Volkswagen,2019,"$21,452","2,339",White,Black,Automatic,FWD
2017 Ford Fusion Energi Platinum,Ford,2017,"$16,988","18,352",Silver,Beige,CVT,FWD
2017 Lexus RC 300 Base,Lexus,2017,"$27,980","35,882",Gray,Red,Automatic,AWD
2015 Alfa Romeo 4C Base,Alfa,2015,"$40,900","7,970",Red,Black,Automatic,RWD
2018 INFINITI Q60 2.0t LUXE,INFINITI,2018,"$28,980","17,600",Black,Gray,Automatic,AWD
2005 Bentley Arnage T,Bentley,2005,"$35,880","64,602",Black,Other,Automatic,RWD
2017 Volvo XC90 Hybrid T8 Inscription,Volvo,2017,"$48,490","37,783",White,Orange,Automatic,AWD
2019 Volvo V90 T5 R-Design,Volvo,2019,"$39,190","15,185",Silver,Gray,Automatic,FWD
2017 Audi A8 Sport,Audi,2017,"$46,897","24,006",Black,Other,Automatic,AWD
2019 Audi SQ5 Premium Plus,Audi,2019,"$53,844","3,104",Gray,Other,Automatic,AWD
2013 Acura ZDX Base,Acura,2013,"$22,595","59,474",White,Black,Automatic,AWD
2008 Volkswagen New Beetle SE,Volkswagen,2008,"$8,700","44,533",Beige,Other,Automatic,FWD
2006 Volkswagen Phaeton V8,Volkswagen,2006,"$7,777","105,915",Gold,Other,Automatic,AWD
2017 Maserati Levante S,Maserati,2017,"$37,500","22,002",White,Other,Automatic,AWD
2015 Chrysler 200 Limited,Chrysler,2015,"$8,499","64,759",White,Other,Automatic,FWD
2013 Ford Sedan Police Interceptor Base,Ford,2013,"$13,795","38,875",Black,Gray,Automatic,AWD
2012 BMW 750 Li,BMW,2012,"$13,900","56,597",Black,Other,Automatic,RWD
2007 Toyota FJ Cruiser,Toyota,2007,"$11,777","88,523",Black,Gray,Automatic,RWD
2017 BMW X6 M Base,BMW,2017,"$57,995","34,000",Silver,Orange,Automatic,AWD
2003 Hummer H1 Wagon,Hummer,2003,"$16,775","87,211",Green,Green,Automatic,4x4/4-wheel drive
2002 Buick LeSabre Limited,Buick,2002,"$3,999","36,370",Brown,Beige,Automatic,FWD
2012 smart ForTwo Passion,smart,2012,"$3,999","62,150",Silver,Black,Automatic,RWD
2005 Nissan Xterra S,Nissan,2005,"$1,900","119,250",Gray,Other,Automatic,RWD
2008 Subaru Tribeca Limited 5-Passenger,Subaru,2008,"$9,565","73,931",Gray,Gray,Automatic,AWD
2019 Cadillac XTS Luxury,Cadillac,2019,"$21,995","11,827",Black,Black,Automatic,FWD
2005 Hummer H2 SUT,Hummer,2005,"$22,592","87,983",Black,Black,Automatic,4x4/4-wheel drive
2008 Chevrolet Tahoe Hybrid Base,Chevrolet,2008,"$10,490","126,778",Black,Black,CVT,RWD
2018 Mercedes-Benz Metris Base,Mercedes-Benz,2018,"$25,500","21,233",Black,Black,Automatic,RWD
2018 Audi Q5 2.0T Tech Premium,Audi,2018,"$27,999","5,500",White,Black,Automatic,AWD
2017 Nissan Versa 1.6 SV,Nissan,2017,"$7,999","18,920",Red,Gray,CVT,FWD
2019 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz,2019,"$45,999","2,985",Black,Beige,Automatic,AWD
2003 Chevrolet Astro,Chevrolet,2003,"$2,999","112,860",Gray,Gray,Automatic,RWD
2017 Ford Flex SEL,Ford,2017,"$15,999","21,794",Silver,Beige,Automatic,AWD
2018 Nissan Maxima 3.5 SV,Nissan,2018,"$16,899","25,654",White,Black,CVT,FWD
2001 Pontiac Bonneville SE,Pontiac,2001,"$3,000","101,607",Gold,Other,Automatic,FWD
2018 Nissan Rogue SL,Nissan,2018,"$16,499","12,691",Gray,Black,CVT,AWD
2014 Ford Expedition EL Limited,Ford,2014,"$14,999","41,920",Black,Black,Automatic,RWD
2018 Nissan Maxima 3.5 SV,Nissan,2018,"$15,999","26,017",Silver,Black,CVT,FWD
2014 Mercedes-Benz SLK 250,Mercedes-Benz,2014,"$17,499","54,345",White,Beige,Automatic,RWD
2016 Scion FR-S,Scion,2016,"$15,999","24,700",Black,Black,Manual,RWD
2018 Audi S5 3.0T Prestige,Audi,2018,"$35,999","13,000",Black,Black,Automatic,AWD
2018 Acura ILX Premium Package,Acura,2018,"$16,995","2,540",Gray,Gray,Automatic,FWD
2016 Nissan Rogue SL,Nissan,2016,"$14,999","21,345",White,Beige,CVT,AWD
2019 Hyundai Santa Fe XL SE,Hyundai,2019,"$24,922","14,174",Black,Black,Automatic,FWD
2011 Aston Martin Rapide ENGINE PADDLE SHIFTERS NAVIGATION HEATED/COOLED SE,Aston,2011,"$44,888","42,200",Silver,Black,Automatic,RWD
2011 Nissan Murano CrossCabriolet Base,Nissan,2011,"$10,995","54,377",Black,Beige,CVT,AWD
2015 Hyundai Equus Signature,Hyundai,2015,"$23,695","38,736",Black,Black,Automatic,RWD
2010 Mercedes-Benz R 350 4MATIC,Mercedes-Benz,2010,"$12,888","75,669",Black,Black,Automatic,AWD
2017 Maserati Quattroporte S Q4,Maserati,2017,"$33,888","53,343",Blue,Brown,Automatic,AWD
2004 Maserati Coupe Cambiocorsa,Maserati,2004,"$11,888","66,085",Gray,Beige,Automatic,RWD
2017 BMW ALPINA B7 xDrive,BMW,2017,"$47,669","24,215",Black,Beige,Automatic,AWD
