Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain,City
2013 INFINITI JX35 Base,INFINITI,2013,13888.0,73953.0,White,Brown,CVT,AWD,New York City
2006 Suzuki Grand Vitara,Suzuki,2006,3995.0,121390.0,Red,Gray,Automatic,4x4/4-wheel drive,New York City
2012 INFINITI FX50 Base,INFINITI,2012,13995.0,101158.0,Black,Black,Automatic,AWD,New York City
2012 Honda Odyssey EX-L,Honda,2012,10900.0,57070.0,Black,Gray,Automatic,FWD,New York City
2012 INFINITI QX56 Base,INFINITI,2012,13495.0,137301.0,Silver,Gray,Automatic,4x4/4-wheel drive,New York City
2011 Cadillac SRX Luxury Collection,Cadillac,2011,4495.0,166480.0,Black,Black,Automatic,AWD,New York City
2005 Land Rover LR3 SE,Land Rover,2005,3999.0,132989.0,Black,Black,Automatic,4x4/4-wheel drive,New York City
2006 Land Rover LR3,Land Rover,2006,4250.0,118610.0,Red,Beige,Automatic,4x4/4-wheel drive,New York City
2013 Nissan Sentra SR,Nissan,2013,3999.0,64547.0,Black,Black,CVT,FWD,New York City
2001 Mazda Tribute LX V6,Mazda,2001,1900.0,117029.0,Blue,Gray,Automatic,4x4/4-wheel drive,New York City
2010 BMW 650 i,BMW,2010,8995.0,8000.0,White,Beige,Automatic,RWD,New York City
2012 BMW 650 i,BMW,2012,15499.0,83262.0,Gray,Red,Automatic,RWD,New York City
2014 Toyota Avalon XLE,Toyota,2014,9495.0,60088.0,Black,Other,Automatic,FWD,New York City
2005 Saturn Ion 2,Saturn,2005,1900.0,123000.0,Black,Beige,Manual,FWD,New York City
2006 GMC Envoy Denali,GMC,2006,3995.0,113552.0,Red,Gray,Automatic,4x4/4-wheel drive,New York City
2009 Nissan Maxima 3.5 SV,Nissan,2009,4995.0,87491.0,Black,Gray,CVT,FWD,New York City
2003 Land Rover Discovery HSE,Land Rover,2003,3795.0,97126.0,Black,Beige,Automatic,4x4/4-wheel drive,New York City
2012 Honda Civic Hybrid,Honda,2012,4699.0,109961.0,Gray,Other,CVT,FWD,New York City
2003 GMC Sonoma SLS Crew Cab,GMC,2003,3995.0,183412.0,White,Black,Automatic,4x4/4-wheel drive,New York City
2011 Chevrolet Equinox 2LT,Chevrolet,2011,5093.0,80795.0,Black,Other,Automatic,FWD,New York City
2005 Bentley Continental GT,Bentley,2005,29995.0,29987.0,Green,Black,Automatic,AWD,New York City
2002 Mercury Grand Marquis LS Premium,Mercury,2002,3997.0,57492.0,Red,Beige,Automatic,RWD,New York City
2014 Nissan Murano CrossCabriolet Base,Nissan,2014,15399.0,39535.0,Red,Black,CVT,AWD,New York City
2005 Toyota Matrix XR,Toyota,2005,6995.0,66627.0,Silver,Black,Automatic,AWD,New York City
2011 Hyundai Equus Ultimate,Hyundai,2011,14897.0,82137.0,Black,Beige,Automatic,RWD,New York City
2010 Ford Explorer Sport Trac Limited,Ford,2010,16999.0,118618.0,Black,Black,Automatic,AWD,New York City
2000 Chevrolet Express 1500 Cargo,Chevrolet,2000,6999.0,132364.0,Gray,Gray,Automatic,RWD,New York City
2004 Chevrolet Astro,Chevrolet,2004,6295.0,86232.0,Blue,Gray,Automatic,RWD,New York City
2011 Aston Martin Rapide Luxe,Aston Martin,2011,59900.0,22300.0,White,Red,Automatic,RWD,New York City
2005 Chrysler Sebring Limited,Chrysler,2005,3495.0,71086.0,Black,Gray,Automatic,FWD,New York City
2012 Toyota Prius v Five,Toyota,2012,11481.0,73463.0,Blue,Gray,CVT,FWD,New York City
2011 Mercury Grand Marquis LS,Mercury,2011,3900.0,103558.0,Gray,Silver,Automatic,RWD,New York City
2017 Acura MDX Sport Hybrid 3.0L w/Technology Package,Acura,2017,26129.0,61058.0,Black,Black,Automatic,AWD,New York City
2010 Kia Forte SX,Kia,2010,3990.0,96130.0,Black,Black,Automatic,FWD,New York City
2016 Mercedes-Benz AMG GL AMG GL 63 4MATIC,Mercedes-Benz,2016,40995.0,64538.0,Black,Black,Automatic,AWD,New York City
2007 Audi Q7 4.2 Premium,Audi,2007,5366.0,132704.0,White,Beige,Automatic,AWD,New York City
2012 Mercedes-Benz R 350 4MATIC,Mercedes-Benz,2012,11985.0,115721.0,White,Beige,Automatic,AWD,New York City
2018 Dodge Durango GT,Dodge,2018,21400.0,26990.0,Silver,Black,Automatic,RWD,New York City
2006 Acura RL,Acura,2006,6495.0,100585.0,Beige,Beige,Automatic,AWD,New York City
2015 MINI Convertible Cooper S,MINI,2015,8900.0,21100.0,Beige,Black,Automatic,FWD,New York City
2008 Jaguar XJ8,Jaguar,2008,9995.0,50120.0,White,Other,Automatic,RWD,New York City
2016 Nissan Sentra SR,Nissan,2016,7988.0,35931.0,Black,Gray,CVT,FWD,New York City
2010 Acura ZDX,Acura,2010,13495.0,98665.0,Gray,Black,Automatic,AWD,New York City
2011 Honda Accord Crosstour EX-L,Honda,2011,10777.0,75668.0,White,White,Automatic,FWD,New York City
2019 Cadillac XT4 Sport,Cadillac,2019,25500.0,231.0,Black,Other,Automatic,FWD,New York City
2015 Mitsubishi Outlander Sport ES,Mitsubishi,2015,8500.0,20323.0,Silver,Black,CVT,FWD,New York City
2020 Tesla Model 3 Standard Range Plus,Tesla,2020,33900.0,130.0,Other,Other,Automatic,RWD,New York City
2019 INFINITI QX80 Luxe,INFINITI,2019,24900.0,18.0,Gray,Gray,Automatic,AWD,New York City
2019 Cadillac XT4 Premium Luxury,Cadillac,2019,25500.0,717.0,Blue,Black,Automatic,FWD,New York City
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,Mercedes-Benz,2019,24900.0,3847.0,Other,Other,Automatic,AWD,New York City
2019 Cadillac CT6 Luxury,Cadillac,2019,34900.0,3369.0,White,Other,Automatic,AWD,New York City
2019 Chevrolet Traverse LT Leather,Chevrolet,2019,25900.0,41.0,Black,Black,Automatic,AWD,New York City
2012 Hyundai Sonata GLS,Hyundai,2012,6500.0,44280.0,Red,Beige,Automatic,FWD,New York City
2019 Volkswagen Jetta GLI 2.0T S,Volkswagen,2019,16500.0,16.0,White,Black,Manual,FWD,New York City
2018 Buick Enclave Essence,Buick,2018,19900.0,29281.0,Black,Gray,Automatic,AWD,New York City
2019 Dodge Journey SE,Dodge,2019,16500.0,20.0,Black,Other,Automatic,FWD,New York City
2006 Dodge Magnum SXT,Dodge,2006,5495.0,96180.0,Black,Gray,Automatic,AWD,New York City
2019 Mazda Mazda3 AWD w/Premium Package,Mazda,2019,20900.0,10573.0,Black,Red,Automatic,AWD,New York City
2006 INFINITI FX45,INFINITI,2006,5990.0,137048.0,Silver,Black,Automatic,AWD,New York City
2017 Hyundai Accent SE,Hyundai,2017,5995.0,16600.0,Silver,Gray,Automatic,FWD,New York City
2018 Chevrolet Impala 2LZ,Chevrolet,2018,13500.0,35274.0,Silver,Black,Automatic,FWD,New York City
2018 Dodge Grand Caravan SXT,Dodge,2018,12900.0,27452.0,Silver,Black,Automatic,FWD,New York City
2016 Nissan NV Cargo NV2500 HD SV V6/SV V8,Nissan,2016,12500.0,58936.0,White,Gray,Automatic,RWD,New York City
2019 Nissan NV Passenger NV3500 HD SL V8,Nissan,2019,26500.0,25.0,Black,Other,Automatic,RWD,New York City
2016 Land Rover Range Rover Sport Supercharged HSE,Land Rover,2016,25900.0,44095.0,Black,Black,Automatic,4x4/4-wheel drive,New York City
2018 BMW X2 xDrive28i,BMW,2018,23500.0,13161.0,White,Other,Automatic,AWD,New York City
2008 Dodge Nitro SLT,Dodge,2008,3995.0,143415.0,White,Gray,Automatic,4x4/4-wheel drive,New York City
2019 RAM 1500 Big Horn,RAM,2019,32500.0,66.0,Black,Black,Automatic,4x4/4-wheel drive,New York City
2018 Honda Civic Sport,Honda,2018,10900.0,35052.0,Other,Other,CVT,FWD,New York City
2004 Saab 9-5 Arc,Saab,2004,1995.0,183885.0,Gray,Gray,Automatic,FWD,New York City
2017 Chevrolet Cruze LT,Chevrolet,2017,9500.0,2990.0,Red,Gray,Automatic,FWD,New York City
2019 Volvo S60 T5 Momentum,Volvo,2019,23900.0,11.0,White,Beige,Automatic,FWD,New York City
2019 Chevrolet Malibu Premier,Chevrolet,2019,16500.0,926.0,White,Black,Automatic,FWD,New York City
2005 Subaru Baja Sport,Subaru,2005,9590.0,81914.0,Silver,Gray,Manual,AWD,New York City
2017 Jaguar XE 25t,Jaguar,2017,17000.0,6000.0,White,Other,Automatic,RWD,New York City
2016 Chevrolet Malibu LS,Chevrolet,2016,9999.0,45750.0,Black,Black,Automatic,FWD,New York City
2015 Toyota Camry Hybrid XLE,Toyota,2015,11495.0,33201.0,White,Gray,CVT,FWD,New York City
2016 Acura RDX FWD w/Tech,Acura,2016,18990.0,45301.0,Gray,Black,Automatic,FWD,New York City
2017 Audi RS 3 2.5T,Audi,2017,44995.0,19933.0,Gray,Black,Automatic,AWD,New York City
2017 Audi S3 2.0T Premium Plus,Audi,2017,24900.0,44164.0,White,Black,Automatic,AWD,New York City
2013 Jaguar XF SC,Jaguar,2013,14643.0,63552.0,Black,Other,Automatic,AWD,New York City
2012 Mercedes-Benz CL 550 4MATIC,Mercedes-Benz,2012,26531.0,59710.0,Black,Black,Automatic,AWD,New York City
2008 Lexus LS 460 L,Lexus,2008,17288.0,35626.0,White,Other,Automatic,RWD,New York City
2006 Cadillac XLR,Cadillac,2006,16000.0,13010.0,Red,Beige,Automatic,RWD,New York City
2004 Pontiac GTO,Pontiac,2004,14388.0,11677.0,Red,Red,Automatic,RWD,New York City
2014 INFINITI Q50 Hybrid Premium,INFINITI,2014,16495.0,55771.0,Black,Black,Automatic,AWD,New York City
2019 Honda Passport Sport,Honda,2019,28515.0,13789.0,Black,Black,Automatic,AWD,New York City
2015 Chrysler 200 Limited,Chrysler,2015,6900.0,75473.0,Gray,Black,Automatic,FWD,New York City
2005 Dodge Magnum R/T,Dodge,2005,5995.0,93000.0,Silver,Gray,Automatic,RWD,New York City
2019 Lexus UX 200,Lexus,2019,27987.0,7262.0,Black,Silver,CVT,FWD,New York City
2011 Toyota Avalon Limited,Toyota,2011,9795.0,87848.0,Blue,Gray,Automatic,FWD,New York City
2010 Toyota Venza,Toyota,2010,6900.0,110471.0,White,White,Automatic,FWD,New York City
2007 Cadillac DTS V8,Cadillac,2007,5490.0,71216.0,White,Beige,Automatic,FWD,New York City
2005 Ford Excursion Limited,Ford,2005,9995.0,133735.0,Brown,Beige,Automatic,4x4/4-wheel drive,New York City
2007 Chrysler Crossfire Limited,Chrysler,2007,14488.0,12014.0,Other,Gray,Manual,RWD,New York City
2007 Ford Explorer Sport Trac Limited,Ford,2007,4995.0,132250.0,Red,Beige,Automatic,4x4/4-wheel drive,New York City
2008 Saturn Vue XR,Saturn,2008,2995.0,100430.0,Red,Beige,Automatic,AWD,New York City
2015 INFINITI Q60 IPL Base,INFINITI,2015,23900.0,30041.0,White,Gray,Automatic,RWD,New York City
2003 Volkswagen New Beetle GLS 1.8T,Volkswagen,2003,3499.0,74174.0,Black,Black,Manual,FWD,New York City
2007 Lotus Elise Type 72D,Lotus,2007,39900.0,11750.0,Black,Black,Manual,RWD,New York City
2018 Lexus LS 500 Base,Lexus,2018,47995.0,45115.0,Silver,Black,Automatic,AWD,New York City
2015 Hyundai Genesis Coupe 3.8 R-Spec,Hyundai,2015,13990.0,67010.0,Gray,Black,Manual,RWD,New York City
2015 Nissan NV Cargo NV1500 SV V6,Nissan,2015,11995.0,92661.0,White,Other,Automatic,RWD,New York City
2017 Nissan Altima 2.5 SV,Nissan,2017,11981.0,43688.0,Black,Black,CVT,FWD,New York City
2012 Jaguar XF Base,Jaguar,2012,13972.0,62394.0,Blue,Other,Automatic,RWD,New York City
2014 INFINITI Q60 IPL Base,INFINITI,2014,21559.0,54071.0,White,Red,Automatic,RWD,New York City
2016 Nissan Sentra SR,Nissan,2016,8599.0,38194.0,White,Gray,CVT,FWD,New York City
2017 Honda HR-V EX-L w/Navigation,Honda,2017,14499.0,23664.0,Black,Black,CVT,AWD,New York City
2010 Lexus LS 460 Base,Lexus,2010,13499.0,83013.0,Silver,Gray,Automatic,AWD,New York City
2007 Lexus LS 460 L,Lexus,2007,7900.0,191187.0,Black,Other,Automatic,RWD,New York City
2015 GMC Acadia Denali,GMC,2015,13942.0,61879.0,Silver,Black,Automatic,AWD,New York City
2006 Mitsubishi Lancer Evolution IX,Mitsubishi,2006,25999.0,95225.0,Blue,Black,Manual,AWD,New York City
2001 Ford Explorer Sport Trac,Ford,2001,3900.0,92416.0,Beige,Beige,Automatic,4x4/4-wheel drive,New York City
2012 Nissan GT-R Black Edition,Nissan,2012,59999.0,37950.0,Black,Black,Automatic,AWD,New York City
2013 Ford Focus SE,Ford,2013,4499.0,82109.0,Gray,Beige,Automatic,FWD,New York City
2013 Nissan Juke NISMO,Nissan,2013,8000.0,66134.0,Red,Black,CVT,FWD,New York City
2007 Acura TSX,Acura,2007,2999.0,154000.0,Gray,Other,Manual,FWD,New York City
2019 Hyundai Veloster Turbo R-Spec,Hyundai,2019,13900.0,38447.0,Gray,Black,Manual,FWD,New York City
2011 Acura TL Technology,Acura,2011,5995.0,110000.0,Black,Other,Automatic,AWD,New York City
2008 Maserati GranTurismo,Maserati,2008,22495.0,43050.0,Gray,Brown,Automatic,RWD,New York City
2011 Chevrolet Camaro 1SS,Chevrolet,2011,12295.0,71451.0,Red,Black,Automatic,RWD,New York City
2010 Dodge Nitro Detonator,Dodge,2010,8495.0,127714.0,Black,Other,Automatic,4x4/4-wheel drive,New York City
2012 Nissan Murano CrossCabriolet Base,Nissan,2012,14895.0,47763.0,Gray,Black,CVT,AWD,New York City
2010 Acura ZDX,Acura,2010,13895.0,115511.0,Gray,Beige,Automatic,AWD,New York City
2007 INFINITI G35 Base,INFINITI,2007,9895.0,75918.0,White,Gray,Manual,RWD,New York City
2001 Honda S2000,Honda,2001,17895.0,66660.0,Red,Other,Manual,RWD,New York City
2014 Ford Fusion SE,Ford,2014,7895.0,52223.0,Black,Other,Automatic,FWD,New York City
2017 BMW 430 i xDrive,BMW,2017,20895.0,28557.0,Red,Black,Automatic,AWD,New York City
2020 Lincoln Aviator Standard,Lincoln,2020,59999.0,1400.0,Blue,Beige,Automatic,AWD,New York City
2010 Mercedes-Benz R 350 4MATIC,Mercedes-Benz,2010,10895.0,75898.0,Silver,Gray,Automatic,AWD,New York City
2008 Chevrolet Cobalt LS,Chevrolet,2008,5499.0,36146.0,Blue,Gray,Automatic,FWD,New York City
2009 Bentley Continental Flying Spur,Bentley,2009,37995.0,45290.0,Red,Other,Automatic,AWD,New York City
2007 Aston Martin V8 Vantage,Aston Martin,2007,41995.0,9493.0,Silver,Other,Manual,RWD,New York City
2011 Ford E250 Cargo,Ford,2011,9497.0,120813.0,White,Gray,Automatic,RWD,New York City
2017 Acura MDX Sport Hybrid 3.5L w/Advance Package,Acura,2017,39000.0,19975.0,Gray,Gray,Automatic,AWD,New York City
2014 INFINITI QX60 Base,INFINITI,2014,12995.0,56275.0,White,Black,CVT,AWD,New York City
2003 Subaru Baja,Subaru,2003,6495.0,158911.0,Other,Gray,Automatic,AWD,New York City
2003 GMC Safari,GMC,2003,5400.0,142016.0,Red,Beige,Automatic,RWD,New York City
2004 Ford E150 E-150,Ford,2004,13695.0,39397.0,White,Beige,Automatic,RWD,New York City
2013 Audi A7 3.0T Premium,Audi,2013,19995.0,40000.0,Gray,Gray,Automatic,FWD,New York City
2003 Lincoln Navigator Ultimate,Lincoln,2003,1900.0,147519.0,White,Beige,Automatic,4x4/4-wheel drive,New York City
2015 BMW i8 Base,BMW,2015,59950.0,21609.0,Gray,Other,Automatic,AWD,New York City
2011 Dodge Nitro Heat,Dodge,2011,11997.0,37112.0,Gray,Gray,Automatic,4x4/4-wheel drive,New York City
2003 GMC Envoy XL SLT,GMC,2003,1995.0,162185.0,Black,Black,Automatic,4x4/4-wheel drive,New York City
2006 Nissan Quest 3.5 SE,Nissan,2006,2495.0,118923.0,Black,Gray,Automatic,FWD,New York City
2019 Land Rover Range Rover Velar P250 Base,Land Rover,2019,37988.0,14284.0,White,Black,Automatic,4x4/4-wheel drive,New York City
2006 Pontiac GTO,Pontiac,2006,17666.0,34626.0,Silver,Black,Automatic,RWD,New York City
2018 Audi S6 4.0T Premium Plus,Audi,2018,35900.0,11716.0,Silver,Red,Automatic,AWD,New York City
2005 Land Rover LR3 SE,Land Rover,2005,4995.0,151290.0,Black,Black,Automatic,4x4/4-wheel drive,New York City
2004 Saab 9-3 Aero,Saab,2004,4895.0,77326.0,Gray,Gray,Manual,FWD,New York City
2019 MINI Convertible Cooper,MINI,2019,13888.0,46152.0,Gray,Black,Automatic,FWD,New York City
2014 GMC Terrain SLE-1,GMC,2014,5990.0,64459.0,Beige,Gray,Automatic,AWD,New York City
2016 Mercedes-Benz AMG GLA AMG GLA 45 4MATIC,Mercedes-Benz,2016,29395.0,37036.0,Black,Black,Automatic,AWD,New York City
2015 Nissan Titan SV,Nissan,2015,16500.0,27182.0,Black,Beige,Automatic,4x4/4-wheel drive,New York City
2018 Chevrolet Equinox 1LT,Chevrolet,2018,13500.0,13924.0,Silver,Black,Automatic,AWD,New York City
2016 Land Rover Range Rover Evoque SE,Land Rover,2016,14900.0,73473.0,White,Beige,Automatic,4x4/4-wheel drive,New York City
2018 Ford Fusion SE,Ford,2018,10900.0,11404.0,Black,Black,Automatic,FWD,New York City
2019 Nissan Maxima 3.5 Platinum,Nissan,2019,25900.0,13.0,Black,Other,CVT,FWD,New York City
2018 Buick Encore Preferred II,Buick,2018,12900.0,406.0,Red,Other,Automatic,FWD,New York City
2018 Chevrolet Tahoe Premier,Chevrolet,2018,43500.0,21946.0,Other,Other,Automatic,4x4/4-wheel drive,New York City
2016 Maserati GranTurismo Sport,Maserati,2016,43875.0,31968.0,Black,Red,Automatic,RWD,New York City
2019 Land Rover Discovery Sport HSE,Land Rover,2019,29900.0,7299.0,White,Black,Automatic,4x4/4-wheel drive,New York City
2013 Dodge Dart Limited/GT,Dodge,2013,5995.0,112884.0,Black,Black,Automatic,FWD,New York City
2017 Subaru Crosstrek 2.0i Premium,Subaru,2017,13900.0,30297.0,White,Black,CVT,AWD,New York City
2005 Pontiac Grand Prix GT,Pontiac,2005,3995.0,77406.0,Silver,Black,Automatic,FWD,New York City
2018 Land Rover Discovery SE,Land Rover,2018,29900.0,17011.0,Black,Black,Automatic,4x4/4-wheel drive,New York City
2018 Buick Encore Preferred II,Buick,2018,12900.0,44.0,White,Gray,Automatic,FWD,New York City
2016 Honda Pilot EX-L,Honda,2016,15500.0,42555.0,White,Beige,Automatic,AWD,New York City
2019 Cadillac XT4 Luxury,Cadillac,2019,29500.0,167.0,Orange,Other,Automatic,AWD,New York City
2019 Nissan Murano SL,Nissan,2019,22500.0,79.0,Gray,Gray,CVT,FWD,New York City
2017 Dodge Grand Caravan SXT,Dodge,2017,11500.0,48745.0,Black,Black,Automatic,FWD,New York City
2015 Scion FR-S,Scion,2015,13999.0,9189.0,Orange,Black,Manual,RWD,New York City
2015 Subaru BRZ Series.Blue,Subaru,2015,19996.0,35692.0,White,Black,Manual,RWD,New York City
2019 Mercedes-Benz GLC 350e Base 4MATIC,Mercedes-Benz,2019,38600.0,9336.0,White,Beige,Automatic,AWD,New York City
2008 Dodge Sprinter HIGH ROOF 170-IN. WB EXT,Dodge,2008,13995.0,143875.0,Gray,Black,Automatic,RWD,New York City
2018 Toyota Camry Hybrid LE,Toyota,2018,15998.0,78270.0,White,Other,CVT,FWD,New York City
2013 Hyundai Sonata GLS,Hyundai,2013,8696.0,53261.0,Black,Beige,Automatic,FWD,New York City
2015 Chevrolet Impala 1LT,Chevrolet,2015,9995.0,70860.0,White,Other,Automatic,FWD,New York City
2014 Nissan Sentra SV,Nissan,2014,5900.0,74752.0,Silver,Black,CVT,FWD,New York City
2019 INFINITI QX80 Limited,INFINITI,2019,42998.0,14491.0,Black,Other,Automatic,AWD,New York City
2017 Mitsubishi Lancer ES,Mitsubishi,2017,11685.0,21895.0,Black,Black,CVT,FWD,New York City
2017 Volvo XC90 Hybrid T8 Inscription,Volvo,2017,41915.0,28189.0,Black,Orange,Automatic,AWD,New York City
2019 Genesis G70 3.3T Dynamic,Genesis,2019,37900.0,11925.0,White,Other,Automatic,AWD,New York City
2020 Kia Telluride SX,Kia,2020,45999.0,10191.0,Green,Gray,Automatic,AWD,New York City
2017 FIAT 124 Spider Elaborazione Abarth,FIAT,2017,18506.0,24730.0,Gray,Black,Manual,RWD,New York City
2010 Mazda Mazda5 Grand Touring,Mazda,2010,5495.0,114154.0,Black,Black,Automatic,FWD,New York City
2012 Ford Focus SEL,Ford,2012,3995.0,104100.0,Red,Black,Automatic,FWD,New York City
2018 Honda Civic Type R Touring,Honda,2018,33995.0,5527.0,Gray,Black,Manual,FWD,New York City
2017 Audi RS 7 4.0T Prestige,Audi,2017,51288.0,59425.0,Black,Black,Automatic,AWD,New York City
2007 Cadillac STS V,Cadillac,2007,11990.0,109648.0,Black,Black,Automatic,RWD,New York City
2008 Mazda MazdaSpeed3 Grand Touring,Mazda,2008,7490.0,96281.0,White,Black,Manual,FWD,New York City
2011 Buick Regal CXL Turbo,Buick,2011,6950.0,88000.0,Black,Black,Manual,FWD,New York City
2015 Volvo XC70 T6 Premier Plus,Volvo,2015,19650.0,58216.0,Blue,Beige,Automatic,AWD,New York City
2006 Honda Ridgeline RTS,Honda,2006,6995.0,88848.0,Red,Other,Automatic,4x4/4-wheel drive,New York City
2007 Chevrolet TrailBlazer LS,Chevrolet,2007,3495.0,128537.0,Gray,Other,Automatic,RWD,New York City
2009 Mercury Grand Marquis LS,Mercury,2009,9998.0,34815.0,Silver,Gray,Automatic,RWD,New York City
2001 Mercury Grand Marquis GS,Mercury,2001,3998.0,54932.0,Silver,Gray,Automatic,RWD,New York City
2015 Honda CR-Z EX,Honda,2015,10295.0,24792.0,Black,Black,CVT,FWD,New York City
2006 Mercury Milan V6 Premier,Mercury,2006,4899.0,128150.0,Black,Black,Automatic,FWD,New York City
2016 Hyundai Equus Signature,Hyundai,2016,20097.0,61726.0,Gray,Black,Automatic,RWD,New York City
2016 Cadillac CT6 3.0L Twin Turbo Platinum,Cadillac,2016,31995.0,23301.0,Gray,Black,Automatic,AWD,New York City
2012 Kia Soul +,Kia,2012,5295.0,98223.0,Black,Gray,Automatic,FWD,New York City
2019 Toyota 86 GT,Toyota,2019,22795.0,4406.0,White,Black,Automatic,RWD,New York City
2015 INFINITI Q40 Base,INFINITI,2015,13995.0,46676.0,Gray,Gray,Automatic,AWD,New York City
2018 Lincoln Navigator L Reserve,Lincoln,2018,59888.0,35409.0,White,Beige,Automatic,4x4/4-wheel drive,New York City
2016 Mercedes-Benz Metris Base,Mercedes-Benz,2016,16995.0,49625.0,Gray,Gray,Automatic,RWD,New York City
2018 Kia Optima LX,Kia,2018,9999.0,30788.0,White,Black,Automatic,FWD,New York City
2008 Mitsubishi Lancer GTS,Mitsubishi,2008,3499.0,161052.0,Beige,Other,CVT,FWD,New York City
2018 Honda Civic Type R Touring,Honda,2018,29800.0,23304.0,Blue,Black,Manual,FWD,New York City
2014 Volkswagen Touareg 3.6L Sport w/Nav,Volkswagen,2014,13995.0,42587.0,Gray,Other,Automatic,AWD,New York City
2007 Mercury Mariner,Mercury,2007,3742.0,116588.0,Silver,Gray,Automatic,4x4/4-wheel drive,New York City
2017 BMW X3 sDrive28i,BMW,2017,22080.0,19742.0,Black,Black,Automatic,RWD,New York City
2010 Chrysler Town & Country Touring,Chrysler,2010,4350.0,105696.0,Black,Gray,Automatic,FWD,New York City
2013 BMW 640 Gran Coupe i,BMW,2013,27789.0,28447.0,Gray,Black,Automatic,RWD,New York City
