Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2009 Audi TTS 2.0T Premium Plus quattro,Audi,2009,"$14,699","48,908",Black,Black,Automatic,AWD
2012 Ford Focus Titanium,Ford,2012,"$8,400","59,081",Black,Other,Automatic,FWD
2020 Chevrolet Blazer 2LT,Chevrolet,2020,"$26,795","13,509",Gray,Gray,Automatic,FWD
2003 Lincoln Town Car Signature,Lincoln,2003,"$5,995","124,942",Silver,Beige,Automatic,RWD
2007 Mercedes-Benz CL 550,Mercedes-Benz,2007,"$19,995","44,244",Black,Black,Automatic,RWD
2011 Dodge Nitro SXT,Dodge,2011,"$5,900","126,848",Silver,Black,Automatic,RWD
2016 Maserati Ghibli S,Maserati,2016,"$30,850","34,833",Red,Black,Automatic,RWD
2014 Maserati GranTurismo Sport,Maserati,2014,"$38,995","40,327",Black,Black,Automatic,RWD
2015 Maserati Ghibli S Q4,Maserati,2015,"$26,900","33,209",Gray,Brown,Automatic,AWD
2019 Audi Q8 3.0T Premium,Audi,2019,"$56,690","20,733",Black,Black,Automatic,AWD
2009 Acura TSX,Acura,2009,"$4,999","168,068",Black,Black,Automatic,FWD
2015 Nissan Versa Note SR,Nissan,2015,"$11,990","45,966",Black,Gray,CVT,FWD
2015 Nissan Versa Note S Plus,Nissan,2015,"$9,990","56,859",Gray,Black,CVT,FWD
2018 Genesis G80 3.8,Genesis,2018,"$27,990","28,798",Black,Black,Automatic,AWD
2018 Lexus LC 500 Base,Lexus,2018,"$59,998","43,935",Black,Black,Automatic,RWD
2012 Mercedes-Benz Sprinter 3500 High Roof,Mercedes-Benz,2012,"$22,900","122,207",White,Black,Automatic,RWD
2015 Scion xB,Scion,2015,"$13,590","39,712",Red,Black,Automatic,FWD
2017 Genesis G90 3.3T Premium,Genesis,2017,"$38,590","13,942",White,Black,Automatic,RWD
2003 Hummer H2,Hummer,2003,"$8,975","165,000",Orange,Beige,Automatic,4x4/4-wheel drive
2015 Kia Optima LX,Kia,2015,"$10,850","39,000",White,Gray,Automatic,FWD
2007 Chevrolet Monte Carlo SS,Chevrolet,2007,"$10,995","99,945",Red,Other,Automatic,FWD
2011 Honda Element EX,Honda,2011,"$8,850","126,000",Gray,Gray,Automatic,FWD
2016 Jeep Patriot Sport,Jeep,2016,"$9,491","67,022",Blue,Gray,Automatic,FWD
2002 Toyota Celica GTS,Toyota,2002,"$4,988","135,000",Blue,Black,Manual,FWD
2014 Audi A7 3.0T Premium Plus quattro,Audi,2014,"$22,750","74,544",White,Black,Automatic,AWD
2014 BMW 228 i,BMW,2014,"$13,991","49,044",Blue,White,Automatic,RWD
2018 Ford Focus Titanium,Ford,2018,"$9,950","27,010",Gray,Black,Automatic,FWD
2013 Scion tC Base,Scion,2013,"$7,991","64,806",Black,Gray,Manual,FWD
2012 Scion xB Base,Scion,2012,"$8,991","42,784",Red,Gray,Automatic,FWD
2008 Saturn Sky,Saturn,2008,"$9,495","58,223",Blue,Black,Manual,RWD
2018 Chevrolet Malibu 1LS,Chevrolet,2018,"$8,991","52,515",Silver,Black,Automatic,FWD
2005 Lotus Elise,Lotus,2005,"$31,491","28,111",Silver,Black,Manual,RWD
2014 Volkswagen Jetta S,Volkswagen,2014,"$6,991","39,890",Silver,Beige,Automatic,FWD
2017 Nissan Rogue Sport SV,Nissan,2017,"$10,491","40,594",Black,Gray,CVT,FWD
2017 Volkswagen Jetta 1.4T S,Volkswagen,2017,"$8,991","37,854",Gray,Black,Manual,FWD
2014 Chevrolet SS Base,Chevrolet,2014,"$26,995","69,152",Red,Black,Automatic,RWD
2012 Chevrolet Camaro 2LS,Chevrolet,2012,"$7,888","92,000",Yellow,Black,Automatic,RWD
2015 Scion FR-S Release Series 1.0,Scion,2015,"$14,995","99,413",Yellow,Black,Automatic,RWD
2009 Chevrolet Avalanche 1500 LTZ,Chevrolet,2009,"$15,041","67,890",Black,Black,Automatic,RWD
2011 Subaru Impreza Outback Sport Outback Sport,Subaru,2011,"$9,424","97,027",Silver,Black,Automatic,AWD
2020 BMW X2 sDrive28i,BMW,2020,"$28,799","11,022",White,Black,Automatic,FWD
2019 Land Rover Range Rover Velar P250 SE R-Dynamic,Land,2019,"$53,995","14,404",White,Black,Automatic,4x4/4-wheel drive
2018 Nissan Versa 1.6 S+,Nissan,2018,"$5,999","28,713",Black,Black,CVT,FWD
2003 Ford Excursion Limited,Ford,2003,"$9,990","127,576",Black,Beige,Automatic,RWD
2018 Genesis G90 3.3T Premium,Genesis,2018,"$36,500","38,171",Black,Black,Automatic,RWD
2017 Genesis G80 5.0 Ultimate,Genesis,2017,"$29,000","30,742",Black,Black,Automatic,RWD
2016 Dodge Grand Caravan AVP/SE,Dodge,2016,"$8,995","63,146",White,Black,Automatic,FWD
2013 Buick LaCrosse Leather,Buick,2013,"$8,995","83,174",White,Beige,Automatic,FWD
2010 Lincoln MKZ Base,Lincoln,2010,"$5,995","77,713",White,Black,Automatic,FWD
2008 Toyota Camry Solara SLE,Toyota,2008,"$6,999","85,024",Black,Gray,Automatic,FWD
2015 FIAT 500L Lounge,FIAT,2015,"$12,999","78,256",White,Black,Automatic,FWD
2019 Hyundai Accent SEL,Hyundai,2019,"$10,999","6,511",Gray,Black,Automatic,FWD
2013 Chevrolet Cruze 1LT,Chevrolet,2013,"$6,599","67,932",Beige,Beige,Automatic,FWD
2013 INFINITI FX37,INFINITI,2013,"$14,991","81,400",Black,Beige,Automatic,AWD
2018 Land Rover Discovery HSE,Land,2018,"$44,391","17,837",Blue,Black,Automatic,4x4/4-wheel drive
2019 INFINITI Q70 3.7 LUXE,INFINITI,2019,"$35,933","7,568",Silver,Gray,Automatic,RWD
2017 Ford Focus S,Ford,2017,"$8,995","9,219",Black,Black,Automatic,FWD
2014 MINI Convertible Cooper,MINI,2014,"$7,995","50,399",Silver,Black,Automatic,FWD
2016 Ford Focus S,Ford,2016,"$5,995","33,905",Gray,Black,Automatic,FWD
2017 Ford Fusion SE,Ford,2017,"$12,995","12,693",Gray,Black,Automatic,FWD
2017 Mercedes-Benz AMG CLA 45 Base 4MATIC,Mercedes-Benz,2017,"$39,993","24,939",White,Black,Automatic,AWD
2000 Chevrolet S-10 LS Extended Cab,Chevrolet,2000,"$4,995","129,041",White,Gray,Automatic,RWD
2020 Mercedes-Benz GLB 250 Base,Mercedes-Benz,2020,"$36,775","4,629",Black,Beige,Automatic,FWD
2003 Mercury Marauder,Mercury,2003,"$9,980","157,518",Black,Black,Automatic,RWD
2003 Mercury Marauder,Mercury,2003,"$15,980","76,116",Black,Black,Automatic,RWD
2013 FIAT 500 Abarth,FIAT,2013,"$7,987","48,453",Red,Red,Manual,FWD
2005 Subaru Baja Sport,Subaru,2005,"$8,489","138,862",Silver,Gray,Automatic,AWD
2007 Pontiac Solstice GXP,Pontiac,2007,"$6,785","135,382",Black,Black,Automatic,RWD
2010 Mercury Grand Marquis LS Ultimate,Mercury,2010,"$9,980","69,827",Silver,Beige,Automatic,RWD
2014 Lexus LX 570 Base,Lexus,2014,"$23,999","61,458",White,Beige,Automatic,4x4/4-wheel drive
2009 MINI Cooper S,MINI,2009,"$5,484","101,657",Black,Black,Automatic,FWD
2012 Hyundai Equus Signature,Hyundai,2012,"$17,988","33,259",Black,Beige,Automatic,RWD
2018 Nissan Sentra S,Nissan,2018,"$9,995","36,799",Gray,Gray,CVT,FWD
2011 Hyundai Equus Ultimate,Hyundai,2011,"$15,888","64,277",Gray,Black,Automatic,RWD
2019 Cadillac XT4 Luxury,Cadillac,2019,"$26,995","12,580",Silver,Other,Automatic,FWD
2004 Dodge Dakota Sport,Dodge,2004,"$5,997","89,215",Red,Gray,Automatic,RWD
2014 MINI Coupe Cooper S,MINI,2014,"$10,495","57,400",Black,Other,Automatic,FWD
2017 Nissan Altima 2.5,Nissan,2017,"$8,495","86,408",White,Other,CVT,FWD
2018 Nissan Versa S,Nissan,2018,"$7,988","41,015",Red,Other,CVT,FWD
2015 Mitsubishi Mirage ES,Mitsubishi,2015,"$5,888","14,461",Red,Other,CVT,FWD
