Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2009 Hummer H2,Hummer,2009,"$28,900","126,000",Orange,Black,Automanual,4x4/4-wheel drive
2014 Jeep Patriot Sport,Jeep,2014,"$5,900","84,224",Blue,Gray,Manual,FWD
2019 RAM ProMaster 2500 High Roof,RAM,2019,"$25,990","47,923",Black,Gray,Automatic,FWD
2014 Chevrolet Spark EV 1LT,Chevrolet,2014,"$9,990","30,348",White,Other,Automatic,FWD
2019 Volkswagen Arteon 2.0T SEL Premium,Volkswagen,2019,"$33,730","1,963",Silver,Black,Automatic,AWD
2019 Volvo S90 T5 Momentum,Volvo,2019,"$26,400","15,287",Black,Other,Automatic,FWD
2016 Hyundai Genesis 3.8,Hyundai,2016,"$17,495","43,956",Black,Gray,Automatic,RWD
2016 Dodge Dart SE,Dodge,2016,"$6,800","67,435",Gray,Other,Automatic,FWD
2016 Scion iM Base,Scion,2016,"$9,800","47,721",Green,Other,Other / Unknown,FWD
2016 Honda Fit LX,Honda,2016,"$8,995","49,732",Silver,Black,CVT,FWD
2004 Ford Excursion XLT,Ford,2004,"$6,999","111,004",White,Gray,Automatic,RWD
2013 Hyundai Equus Ultimate,Hyundai,2013,"$14,499","85,626",Black,Black,Automatic,RWD
2015 Honda Crosstour EX-L,Honda,2015,"$13,999","49,074",Gray,Black,Automatic,FWD
2017 Audi S7 4.0T Premium Plus,Audi,2017,"$50,990","9,543",Gray,Black,Automatic,AWD
2017 Audi A4 allroad 2.0T Premium quattro,Audi,2017,"$30,990","18,767",Silver,Black,Automatic,AWD
2017 Toyota Yaris iA Base,Toyota,2017,"$9,099","69,579",Silver,Black,Automatic,FWD
2016 Volkswagen CC 2.0T R-Line,Volkswagen,2016,"$17,780","34,540",White,Black,Automatic,FWD
2018 Acura TLX V6 A-Spec,Acura,2018,"$25,999","32,521",White,Red,Automatic,FWD
2013 Kia Optima SX,Kia,2013,"$10,999","52,704",Black,Black,Automatic,FWD
2014 Cadillac ELR Base,Cadillac,2014,"$16,999","33,344",Other,Other,Automatic,FWD
2016 BMW 428 Gran Coupe i,BMW,2016,"$20,999","17,683",Silver,Black,Automatic,RWD
2019 Tesla Model 3 Standard Range Plus,Tesla,2019,"$30,000","3,500",Black,Black,Automanual,RWD
2007 Dodge Magnum Base,Dodge,2007,"$3,988","131,892",White,Black,Automatic,RWD
2013 MINI Convertible Cooper,MINI,2013,"$6,999","56,000",Brown,Brown,Automatic,FWD
2004 Mazda RX-8 Base,Mazda,2004,"$4,988","76,170",Gray,Black,Manual,RWD
2013 GMC Terrain SLE-1,GMC,2013,"$8,999","54,000",Gray,Gray,Automatic,FWD
2010 Cadillac SRX,Cadillac,2010,"$6,995","123,635",Black,Black,Automatic,FWD
2017 INFINITI Q60 3.0t Sport,INFINITI,2017,"$21,998","31,113",Black,Gray,Automatic,RWD
2003 Nissan 350Z Track,Nissan,2003,"$9,988","116,676",Black,Black,Manual,RWD
2017 INFINITI Q70 3.7,INFINITI,2017,"$17,998","22,813",Silver,Gray,Automatic,RWD
2017 INFINITI Q60 3.0t Red Sport 400,INFINITI,2017,"$26,998","27,746",Other,White,Automatic,RWD
2018 Chevrolet Traverse LT Cloth,Chevrolet,2018,"$23,999","14,150",Red,Black,Automatic,FWD
2006 Hummer H3,Hummer,2006,"$7,988","155,863",White,Black,Automatic,4x4/4-wheel drive
2010 Jaguar XF Premium,Jaguar,2010,"$9,900","111,302",Gold,Other,Automatic,RWD
2009 Jaguar XF Supercharged,Jaguar,2009,"$8,795","90,381",Blue,Other,Automatic,RWD
2016 INFINITI Q70L 3.7X,INFINITI,2016,"$24,999","37,942",White,Beige,Automatic,AWD
2013 INFINITI QX56 Base,INFINITI,2013,"$14,998","107,168",Gray,Gray,Automatic,RWD
2007 Mercedes-Benz CLK550,Mercedes-Benz,2007,"$6,999","68,000",White,Gray,Automatic,RWD
