Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2016 Hyundai Genesis Coupe 3.8 Base,Hyundai,2016,"$14,785","42,481",White,Other,Automatic,RWD
2016 Hyundai Santa Fe Sport 2.4L,Hyundai,2016,"$9,991","73,112",Blue,Gray,Automatic,FWD
2015 Mitsubishi Outlander Sport ES,Mitsubishi,2015,"$6,991","92,266",White,Black,Automatic,FWD
2013 Dodge Avenger SE,Dodge,2013,"$3,991","107,068",Blue,Gray,Automatic,FWD
2015 Cadillac ATS 2.5L,Cadillac,2015,"$9,691","56,862",Black,Red,Automatic,RWD
2019 GMC Acadia SLT-1,GMC,2019,"$23,191","21,328",White,Brown,Automatic,FWD
2019 Ford Expedition Max Platinum,Ford,2019,"$45,999","4,278",Black,Other,Automatic,RWD
2005 Ford Thunderbird Deluxe,Ford,2005,"$11,000","49,225",Blue,Other,Automatic,RWD
2013 Nissan Altima 2.5 SL,Nissan,2013,"$3,700","72,279",Gray,Gray,CVT,FWD
2017 Kia Sorento LX,Kia,2017,"$12,998","36,445",Red,Black,Automatic,FWD
2017 Genesis G80 3.8,Genesis,2017,"$25,590","21,820",Gray,Black,Automatic,RWD
2015 Chrysler 200 Limited,Chrysler,2015,"$8,997","64,110",White,Black,Automatic,FWD
2016 FIAT 500e Battery Electric,FIAT,2016,"$10,000","21,103",Gray,Black,Automatic,FWD
2016 Cadillac CTS 3.6L Luxury,Cadillac,2016,"$18,397","43,690",Black,Black,Automatic,RWD
2016 Mercedes-Benz Metris Base,Mercedes-Benz,2016,"$14,497","72,396",Silver,Black,Automatic,RWD
2015 Nissan Versa Note S Plus,Nissan,2015,"$9,990","56,859",Gray,Black,CVT,FWD
2014 Acura RLX Sport Hybrid Advance Package,Acura,2014,"$23,100","55,864",Black,Gray,Automatic,AWD
2019 GMC Terrain SLT,GMC,2019,"$21,800","18,750",Silver,Black,Automatic,FWD
2018 BMW X1 sDrive28i,BMW,2018,"$22,800","18,281",Gray,Brown,Automatic,FWD
2019 Chrysler Pacifica Touring-L Plus,Chrysler,2019,"$29,800","2,834",Gray,Black,Automatic,FWD
2019 Nissan Maxima 3.5 SR,Nissan,2019,"$25,800","4,109",White,Gray,CVT,FWD
2015 Nissan Altima 2.5 S,Nissan,2015,"$10,800","16,784",Black,Black,CVT,FWD
2018 Toyota Camry SE,Toyota,2018,"$19,800","24,814",White,Black,Automatic,FWD
2016 BMW 428 i xDrive,BMW,2016,"$21,798","34,140",White,Black,Automatic,AWD
2017 Lincoln MKC Reserve,Lincoln,2017,"$17,997","36,195",Black,Black,Automatic,FWD
2014 Hyundai Equus Signature,Hyundai,2014,"$14,298","73,082",Silver,Black,Automatic,RWD
2017 Buick Enclave Leather,Buick,2017,"$22,990","22,430",White,Brown,Automatic,FWD
2017 FIAT 500e Battery Electric,FIAT,2017,"$8,798","14,093",Orange,Black,Automatic,FWD
2015 Lexus IS 250 250,Lexus,2015,"$14,997","64,021",Gray,Red,Automatic,RWD
2017 Buick Enclave Premium,Buick,2017,"$24,990","27,973",White,Brown,Automatic,FWD
2015 Chrysler 200 Limited,Chrysler,2015,"$4,490","144,460",Gray,Other,Automatic,FWD
2015 Buick Enclave Leather,Buick,2015,"$8,995","79,898",Other,Other,Automatic,FWD
2015 Chevrolet Impala 1LT,Chevrolet,2015,"$8,990","19,298",Other,Other,Automatic,FWD
2017 Chevrolet Equinox 1LT,Chevrolet,2017,"$7,995","19,893",Other,Other,Automatic,FWD
2015 Nissan Rogue Select S,Nissan,2015,"$5,995","50,000",Other,Other,Automatic,FWD
2017 Acura RDX Technology & AcuraWatch Plus Packages,Acura,2017,"$16,995","19,898",Other,Other,Automatic,FWD
2017 Nissan Altima 2.5 SV,Nissan,2017,"$6,995","44,213",Other,Other,Automatic,FWD
2018 Chevrolet Cruze LT,Chevrolet,2018,"$6,995","26,600",Other,Other,Automatic,FWD
2015 Nissan Altima 2.5 S,Nissan,2015,"$5,995","49,822",Other,Other,Automatic,FWD
2010 Nissan Murano SL,Nissan,2010,"$3,995","60,390",Other,Other,Automatic,4x2/2-wheel drive
2015 Kia Optima EX,Kia,2015,"$7,995","48,000",Other,Other,Automatic,FWD
2017 Nissan Altima 2.5 SR,Nissan,2017,"$8,995","25,730",Red,Other,Automatic,FWD
2016 Nissan Versa Note S Plus,Nissan,2016,"$5,900","14,900",Other,Other,Automatic,FWD
2018 Nissan Altima 2.5 S,Nissan,2018,"$10,995","19,990",Other,Other,Automatic,FWD
2014 Chevrolet Equinox 2LT,Chevrolet,2014,"$6,500",55,Black,Black,Automatic,FWD
2017 GMC Acadia Limited Limited,GMC,2017,"$15,990","21,838",Other,Other,Automatic,FWD
