Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2019 Lexus UX 200,Lexus,2019,"$29,649.00","6,722",Black,Black,CVT,FWD
2008 INFINITI M35 Base,INFINITI,2008,"$5,995.00","95,658",Brown,Gray,Automatic,RWD
2018 Volkswagen Atlas 3.6L Launch Edition,Volkswagen,2018,"$22,450.00","20,624",Gray,Black,Automatic,AWD
2017 Volkswagen CC 2.0T Sport,Volkswagen,2017,"$13,750.00","29,509",Black,Black,Automatic,FWD
2015 Hyundai Sonata Limited,Hyundai,2015,"$7,799.00","77,877",Gray,Gray,Automatic,FWD
2018 Mazda Mazda6 Sport,Mazda,2018,"$12,999.00","18,044",Blue,Black,Automatic,FWD
2015 Nissan Rogue SV,Nissan,2015,"$9,999.00","31,730",Red,Black,CVT,AWD
2015 Chevrolet Equinox LS,Chevrolet,2015,"$8,499.00","36,545",Blue,Black,Automatic,FWD
2015 Nissan Murano SV,Nissan,2015,"$13,899.00","37,284",Orange,Black,CVT,AWD
2015 Nissan Altima 2.5 S,Nissan,2015,"$5,899.00","95,682",Gray,Black,CVT,FWD
2009 Scion tC,Scion,2009,"$5,899.00","51,350",Gray,Gray,Automatic,FWD
2017 Honda Civic EX-T,Honda,2017,"$15,495.00","37,500",Blue,Gray,Automatic,FWD
2011 Nissan Xterra Pro-4X,Nissan,2011,"$17,681.00","17,997",Black,Gray,Manual,4x4/4-wheel drive
2017 Cadillac ATS-V Base,Cadillac,2017,"$36,599.00","34,276",Silver,Black,Manual,RWD
2009 Mercury Grand Marquis LS,Mercury,2009,"$9,998.00","34,815",Silver,Gray,Automatic,RWD
2017 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz,2017,"$33,800.00","44,789",White,Beige,Automatic,AWD
2013 Ford Taurus SHO,Ford,2013,"$9,995.00","66,939",Red,Black,Automatic,AWD
2015 Acura RLX Technology Package,Acura,2015,"$18,888.00","49,735",Gray,Other,Automatic,FWD
2014 Ford Focus SE,Ford,2014,"$5,995.00","49,532",White,Black,Automatic,FWD
2013 Chrysler 200 Touring,Chrysler,2013,"$5,995.00","49,013",White,Black,Automatic,FWD
2003 Volkswagen New Beetle GLS 1.8T,Volkswagen,2003,"$3,499.00","74,174",Black,Black,Manual,FWD
2002 Mitsubishi Montero Sport LS,Mitsubishi,2002,"$4,700.00","95,837",Black,Gray,Automatic,4x4/4-wheel drive
2003 GMC Sonoma SLS ZR2,GMC,2003,"$9,300.00","45,213",Yellow,Gray,Manual,4x4/4-wheel drive
2005 Volvo V70 2.5T,Volvo,2005,"$3,895.00","118,626",Silver,Gray,Automatic,FWD
