Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2015 Acura ILX 2.0L w/Premium Package,Acura,2015,"$14,888","45,965",Black,Black,Automatic,FWD
2013 Hyundai Accent SE,Hyundai,2013,"$6,888","59,839",Gray,Black,Automatic,FWD
2015 Maserati Ghibli S Q4,Maserati,2015,"$34,500","19,318",Black,Red,Automatic,AWD
2017 Audi S7 4.0T Premium Plus,Audi,2017,"$43,900","37,382",Black,Red,Automatic,AWD
2016 Lexus RX 350,Lexus,2016,"$28,800","20,211",White,Brown,Automatic,AWD
2019 Ford Expedition Max Limited,Ford,2019,"$45,888","36,987",Black,Black,Automatic,4x4/4-wheel drive
2006 Mercedes-Benz R 350 4MATIC,Mercedes-Benz,2006,"$7,988","89,747",Gray,Black,Automatic,AWD
2013 Volkswagen CC 2.0T Sport Plus,Volkswagen,2013,"$7,053","128,258",Blue,Black,Automatic,FWD
2011 Buick Enclave 1XL,Buick,2011,"$12,980","76,756",Black,Other,Automatic,FWD
2019 Hyundai Kona SE,Hyundai,2019,"$16,799","18,760",Gray,Black,Automatic,AWD
2017 Mercedes-Benz GLS 550 Base 4MATIC,Mercedes-Benz,2017,"$50,999","45,967",Black,Black,Automatic,AWD
2017 Hyundai Azera Base,Hyundai,2017,"$14,991","31,488",White,Black,Automatic,FWD
2015 Audi S8 4.0T quattro,Audi,2015,"$36,999","53,800",Black,Black,Automatic,AWD
2019 Audi SQ5 Prestige,Audi,2019,"$52,489","14,725",Gray,Black,Automatic,AWD
2017 Subaru Legacy 2.5i Premium,Subaru,2017,"$14,994","56,148",Gray,Black,CVT,AWD
2016 BMW 435 Gran Coupe i xDrive,BMW,2016,"$29,995","22,678",Gray,Red,Automatic,AWD
2015 Lexus GS 350 Base,Lexus,2015,"$24,999","24,375",Black,Beige,Automatic,AWD
2018 Kia Stinger GT1,Kia,2018,"$29,999","15,349",Gray,Black,Automatic,RWD
2018 BMW 530e xDrive iPerformance,BMW,2018,"$39,880","14,605",Black,Black,Automatic,AWD
2013 smart ForTwo Electric Drive electric coupe,smart,2013,"$5,000","71,356",White,Black,Automatic,RWD
2017 Kia Sedona LX,Kia,2017,"$14,800","70,805",Gray,Gray,Automatic,FWD
2009 Maserati Quattroporte S,Maserati,2009,"$15,988","81,872",Other,Other,Automatic,RWD
2017 BMW 330 i xDrive,BMW,2017,"$26,000","22,075",Gray,Black,Automatic,AWD
2014 Audi S7 Prestige,Audi,2014,"$38,950","24,800",Black,Black,Automatic,AWD
2013 Toyota Prius Four,Toyota,2013,"$7,999","90,673",White,Black,CVT,FWD
2015 Dodge Journey Crossroad,Dodge,2015,"$14,991","78,132",Gray,Black,Automatic,AWD
2003 Chevrolet SSR,Chevrolet,2003,"$20,000","40,445",Red,Black,Automatic,RWD
2005 Audi TT 3.2L,Audi,2005,"$7,499","82,613",Black,Black,Automatic,AWD
2006 Dodge Caravan SE,Dodge,2006,"$4,499","80,703",Green,Gray,Automatic,FWD
2002 Buick LeSabre Custom,Buick,2002,"$4,999","71,419",Gold,Beige,Automatic,FWD
2002 Mercury Mountaineer,Mercury,2002,"$5,499","99,702",Black,Gray,Automatic,AWD
2004 Saab 9-3 Aero,Saab,2004,"$3,499","109,348",Black,Gray,Automatic,FWD
2016 Toyota Corolla S Plus,Toyota,2016,"$12,995","40,734",Black,Black,CVT,FWD
2006 Honda Element EX-P,Honda,2006,"$5,999","134,416",Red,Blue,Automatic,FWD
2005 Chrysler Town & Country Limited,Chrysler,2005,"$3,999","135,076",Gold,Gray,Automatic,FWD
2017 Alfa Romeo Giulia Ti,Alfa,2017,"$27,997","31,414",Black,Black,Automatic,AWD
2008 Pontiac Solstice GXP,Pontiac,2008,"$12,990","30,600",Green,Black,Manual,RWD
2016 Cadillac ATS-V Base,Cadillac,2016,"$37,512","16,529",Black,Black,Automatic,RWD
2018 Dodge Grand Caravan GT,Dodge,2018,"$17,888","44,365",Silver,Black,Automatic,FWD
2005 Dodge Caravan SXT,Dodge,2005,"$5,999","118,300",Blue,Gray,Automatic,FWD
2016 Hyundai Equus Signature,Hyundai,2016,"$18,691","75,161",White,White,Automatic,RWD
2014 Scion iQ,Scion,2014,"$6,985","63,827",Blue,Black,CVT,FWD
