Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2018 Dodge Grand Caravan SXT,Dodge,2018,"$12,999","49,854",Black,Black,Automatic,FWD
2019 Volvo XC40 T5 Momentum,Volvo,2019,"$32,999","22,453",Black,Beige,Automatic,AWD
2003 Hummer H2,Hummer,2003,"$10,699","103,614",Red,Beige,Automatic,4x4/4-wheel drive
2017 BMW 340 i xDrive,BMW,2017,"$27,299","28,035",Black,Beige,Automatic,AWD
2019 Lincoln Continental Standard,Lincoln,2019,"$26,300","23,413",Black,Black,Automatic,FWD
2018 Volkswagen Golf Alltrack TSI SE,Volkswagen,2018,"$21,500","4,985",White,Beige,Manual,AWD
2019 Kia Rio S,Kia,2019,"$10,500","21,838",Gray,Black,Automatic,FWD
2016 Alfa Romeo 4C Spider Base,Alfa,2016,"$53,500","5,250",White,Red,Automanual,RWD
2019 Kia Rio S,Kia,2019,"$10,000","42,205",White,Black,Automatic,FWD
2019 Nissan Altima 2.5 S,Nissan,2019,"$14,800","23,337",Gray,Gray,CVT,FWD
2019 Land Rover Range Rover Velar P250 Base,Land,2019,"$36,590","27,372",White,Black,Automatic,4x4/4-wheel drive
2013 Nissan Leaf S,Nissan,2013,"$5,500","53,048",Silver,Black,Automatic,FWD
2014 Dodge Dart SXT,Dodge,2014,"$7,500","60,221",White,Black,Automatic,FWD
2018 Kia Stinger Premium,Kia,2018,"$26,950","2,231",White,Black,Automatic,RWD
2019 Chrysler Pacifica Touring-L,Chrysler,2019,"$20,299","45,735",White,Black,Automatic,FWD
2019 Chevrolet Sonic Premier,Chevrolet,2019,"$11,800","22,332",White,Black,Automatic,FWD
2016 smart ForTwo Passion,smart,2016,"$9,950","30,344",White,Gray,Automatic,RWD
2014 BMW X1 sDrive28i,BMW,2014,"$12,400","55,639",Black,Black,Automatic,RWD
2019 Dodge Grand Caravan R/T,Dodge,2019,"$17,400","39,785",Silver,Black,Automatic,FWD
2016 BMW X5 eDrive xDrive40e,BMW,2016,"$33,000","22,252",Black,Black,Automatic,AWD
2018 Mitsubishi Outlander PHEV SEL,Mitsubishi,2018,"$27,500","8,940",Black,Black,Automatic,4x4/4-wheel drive
2005 Lotus Elise,Lotus,2005,"$32,995","14,503",Black,Black,Manual,RWD
2015 Lexus GS 450h Base,Lexus,2015,"$28,485","35,431",Gray,Gray,CVT,RWD
2016 Lexus CT 200h Base,Lexus,2016,"$22,800","24,023",White,Black,CVT,FWD
2017 BMW X5 M Base,BMW,2017,"$58,998","32,730",Gray,Black,Automatic,AWD
2016 Audi S3 2.0T Premium Plus,Audi,2016,"$26,900","23,468",White,Black,Automatic,AWD
2005 Ford Crown Victoria LX,Ford,2005,"$5,988","84,924",Silver,Gray,Automatic,RWD
2007 Lexus GX 470,Lexus,2007,"$11,988","121,469",Black,White,Automatic,4x4/4-wheel drive
2019 Kia Stinger GT,Kia,2019,"$28,995","5,463",Blue,Black,Automatic,RWD
2007 Audi RS 4,Audi,2007,"$16,999","136,758",Gray,Black,Manual,AWD
2008 Dodge Grand Caravan SXT,Dodge,2008,"$8,988","92,772",Beige,Gray,Automatic,FWD
2005 Lincoln Navigator,Lincoln,2005,"$10,999","51,001",Silver,Gray,Automatic,RWD
2012 Audi A3 2.0 TDI Premium,Audi,2012,"$8,499","53,546",Black,Black,Automatic,FWD
2006 Nissan Xterra Off-Road,Nissan,2006,"$9,988","114,498",Black,Gray,Automatic,4x4/4-wheel drive
2017 BMW X5 eDrive xDrive40e,BMW,2017,"$35,988","31,316",Gray,Black,Automatic,AWD
2017 Acura MDX 3.5L w/Technology Package,Acura,2017,"$25,998","34,245",White,Other,Automatic,AWD
2017 Audi A4 allroad 2.0T Premium quattro,Audi,2017,"$25,988","56,687",Gray,Black,Automatic,AWD
2013 Mazda CX-9 Touring,Mazda,2013,"$11,488","61,706",Gray,Black,Automatic,AWD
2019 Lexus UX 250h,Lexus,2019,"$29,999","5,677",White,Gray,CVT,AWD
2014 Audi allroad Premium Plus,Audi,2014,"$15,988","75,491",White,Black,Automatic,AWD
2008 Mitsubishi Lancer Evolution MR,Mitsubishi,2008,"$24,988","30,273",Silver,Black,Automatic,AWD
2017 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,Mercedes-Benz,2017,"$43,794","48,696",Black,Black,Automatic,AWD
2016 Mercedes-Benz Sprinter,Mercedes-Benz,2016,"$29,988","50,435",White,Black,Automatic,RWD
2014 Land Rover LR4 LUX,Land,2014,"$27,988","58,583",Black,Black,Automatic,4x4/4-wheel drive
2004 Chevrolet SSR LS,Chevrolet,2004,"$17,988","67,856",Silver,Black,Automatic,RWD
2015 Nissan Versa Note S Plus,Nissan,2015,"$9,990","56,859",Gray,Black,CVT,FWD
2017 GMC Terrain SLE-1,GMC,2017,"$18,500","31,022",Black,Black,Automatic,FWD
2018 FIAT 124 Spider Lusso,FIAT,2018,"$18,995",29,Gray,Black,Automatic,RWD
2012 Ford Shelby GT500 Base,Ford,2012,"$35,682","33,854",Red,Black,Manual,RWD
2005 INFINITI G35 Base,INFINITI,2005,"$5,800","101,600",Black,Black,Automanual,RWD
2012 BMW Z4 sDrive35i,BMW,2012,"$17,000","78,621",Black,Black,Automatic,RWD
2019 Dodge Journey Crossroad,Dodge,2019,"$16,775","27,966",Gray,Black,Automatic,FWD
2017 Ford Transit Connect XL,Ford,2017,"$18,588","8,691",White,Other,Automatic,FWD
2016 Mercedes-Benz CLA 250,Mercedes-Benz,2016,"$16,499","47,527",Red,Black,Automatic,FWD
2019 Land Rover Range Rover Velar P250 Base,Land,2019,"$36,131","28,672",White,Black,Automatic,4x4/4-wheel drive
2006 Bentley Continental Flying Spur,Bentley,2006,"$24,995","94,741",Black,Other,Automatic,AWD
2011 Ford Crown Victoria Police Interceptor,Ford,2011,"$11,000","64,741",Black,Black,Automatic,RWD
2017 BMW X5 M Base,BMW,2017,"$58,000","27,754",White,Red,Automatic,AWD
2016 Hyundai Genesis Coupe 3.8 Base,Hyundai,2016,"$17,995","36,382",Gray,Black,Manual,RWD
2010 Toyota Sequoia Platinum,Toyota,2010,"$19,995","106,473",Black,Beige,Automatic,4x4/4-wheel drive
2004 Mitsubishi Lancer Evolution VIII,Mitsubishi,2004,"$30,000","56,033",Black,Black,Manual,AWD
2009 Pontiac G8 GT,Pontiac,2009,"$17,500","108,061",Black,Black,Automatic,RWD
2010 Honda Insight EX,Honda,2010,"$7,995","80,551",White,Silver,CVT,FWD
2011 Mercedes-Benz R 350 4MATIC,Mercedes-Benz,2011,"$15,995","87,403",Gray,Black,Automatic,AWD
2014 INFINITI QX60 Hybrid Base,INFINITI,2014,"$17,490","79,418",White,Other,CVT,AWD
2016 BMW X5 M Base,BMW,2016,"$51,900","33,265",Gray,Red,Automatic,AWD
